report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2024-12-31,2024年报,2024-4,2024四季度,act_cash_outflow_total,113537478699.4,28667213599.2300,-0.09107741,0.07754955,-0.05770440
2024-12-31,2024年报,2024-4,2024四季度,exchange_rate_cash_influence,-17957048.45,-739089.3400,-1.15050420,-1.02892693,-1.07286649
2024-12-31,2024年报,2024-4,2024四季度,sale_received_cash,130651821490.28,35908064752.5400,-0.04799933,0.05562153,0.01137635
2024-12-31,2024年报,2024-4,2024四季度,customer_loan_advance_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,add_cash_equivalents_ending_overage,,,,,
2024-12-31,2024年报,2024-4,2024四季度,pay_other_operating_activity_cash,1692614991.37,560222338.6500,-0.12214293,0.44713376,0.09908848
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_inflow_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,other,81353918.71,,-0.38532022,,
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_inflow_total,5728041576.58,3282266815.6400,-0.03452856,1.79599564,-0.29702111
2024-12-31,2024年报,2024-4,2024四季度,pay_subsidiary_and_other_net_cash,165363333.08,,3.19698331,,
2024-12-31,2024年报,2024-4,2024四季度,act_cash_flow_net,21739740393.38,7870128109.9600,0.18859023,-0.07887817,0.19569131
2024-12-31,2024年报,2024-4,2024四季度,pay_dividends_profits_interest_cash,9092304004.54,280955361.9400,0.08037288,-0.07048065,-0.44631652
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_flow_net,-32709427280.73,-27633364467.9100,-1.03866942,-10.68390898,-6.89771724
2024-12-31,2024年报,2024-4,2024四季度,convertible_corporate_bonds,,,,,
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_flow_net_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,receive_obtain_load_cash,218831002594.6,54910142028.5300,-0.23312410,0.63971657,-0.26263805
2024-12-31,2024年报,2024-4,2024四季度,received_reinsurance_net_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,operating_receivable_addition,2611147936.03,,2.49091745,,
2024-12-31,2024年报,2024-4,2024四季度,pay_invest_cash,34254300197.12,29720224153.8600,1.28635012,10.83628286,3.92187367
2024-12-31,2024年报,2024-4,2024四季度,receive_disposal_subsidiary_net_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,receive_interest_fee_and_commission_cash,190191136.76,35199661.0500,0.16650537,-0.24061191,4.97303008
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_flow_net,-7277915908.33,-1932522887.6000,-2.00267762,0.53964627,0.66797718
2024-12-31,2024年报,2024-4,2024四季度,inventory_decrease,585324717.44,,-0.67290365,,
2024-12-31,2024年报,2024-4,2024四季度,pay_fixed_assets_etc_cash,3978318320.96,1028320972.5100,-0.42804077,0.00001561,-0.51709088
2024-12-31,2024年报,2024-4,2024四季度,cash_net_profit,8463710355.65,,-0.17702661,,
2024-12-31,2024年报,2024-4,2024四季度,deferred_income_tax_assets_addition,25513908.3,,-0.79529211,,
2024-12-31,2024年报,2024-4,2024四季度,cash_ending_overage,24546520007.54,,-0.41293234,,
2024-12-31,2024年报,2024-4,2024四季度,operating_activity_cash_inflow,,,,,
2024-12-31,2024年报,2024-4,2024四季度,indirect_act_cash_flow_net,21739740393.38,,0.18859023,,
2024-12-31,2024年报,2024-4,2024四季度,fixed_assets_net_cash,136517188.55,66535155.5300,1.16716314,4.41323905,2.33880685
2024-12-31,2024年报,2024-4,2024四季度,financing_lease_fixed_assets,,,,,
2024-12-31,2024年报,2024-4,2024四季度,borrowed_fund_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,paid_purchasing_cash,91253748837.99,23409240128.2600,-0.10459094,0.05873936,-0.05825813
2024-12-31,2024年报,2024-4,2024四季度,period_cash_and_equivalents_overage,24546520007.54,24546520007.5400,-0.42664500,-0.46918430,-0.42664500
2024-12-31,2024年报,2024-4,2024四季度,received_invest_income_cash,185661424.82,77584597.5700,0.19578497,0.45880137,0.31525730
2024-12-31,2024年报,2024-4,2024四季度,amortization_intangible_assets,268693885.32,,0.14239501,,
2024-12-31,2024年报,2024-4,2024四季度,fair_change_loss,28153114.85,,1.10120241,,
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_outflow_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,deferred_income_tax_assets_decrease,-388802754.25,,-0.86192290,,
2024-12-31,2024年报,2024-4,2024四季度,cash_finance_fee,1026190054.25,,-0.53878877,,
2024-12-31,2024年报,2024-4,2024四季度,indirect_operating_cash_flow_net_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,received_absorb_invest_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,received_subsidiary_absorb_holder_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_flow_net_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,operating_cash_flow_net_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,borrow_bank_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,fixed_assets_scrapped_loss,42089507.17,,0.79753512,,
2024-12-31,2024年报,2024-4,2024四季度,receipts_tax_refunds,713708429.99,44660379.5800,-0.50181859,-0.83904911,-0.90893479
2024-12-31,2024年报,2024-4,2024四季度,depreciation_etc,4202434023.55,,0.03715746,,
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_inflow_special,,,,,
2023-12-31,2023年报,2023-4,2023四季度,invest_cash_outflow_total,21977393813.8,8167988279.7800,0.04653742,3.83970765,0.01663791
2023-12-31,2023年报,2023-4,2023四季度,pay_other_related_financing_cash,1045156845.45,121719031.2000,0.88356577,2.65138051,-0.60364006
2023-12-31,2023年报,2023-4,2023四季度,pay_debt_cash,268867919969.39,79731459017.1200,0.17462994,0.48871535,0.33767253
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_outflow_total,278328971184.59,80360607607.1200,0.17462578,0.49194214,0.33281533
2023-12-31,2023年报,2023-4,2023四季度,subsidiary_pay_holder_dividends,60007375.75,4456007.7700,-0.66968975,2.89669073,2330.38934553
2023-12-31,2023年报,2023-4,2023四季度,dispose_fixed_intangible_long_term_assets_loss,61496104.1,,-0.24458627,,
2023-12-31,2023年报,2023-4,2023四季度,deposits_and_funds_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,cash_equivalents_net_addition_special,,,,,
2023-12-31,2023年报,2023-4,2023四季度,repurchase_funds_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,pay_interest_fee_and_commission_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,received_invest_cash,5690370702.87,4587663734.7500,6.81045408,22.91530547,20.89253200
2023-12-31,2023年报,2023-4,2023四季度,received_origin_insurance_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,receive_issuance_bond_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,borrow_other_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,pay_origin_insurance_contract_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,disposal_financial_assets_measure_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_inflow_total,285587451651.54,74540155545.0900,0.16218869,0.28303328,0.28582380
2023-12-31,2023年报,2023-4,2023四季度,investment_loss,31088785.68,,1.12743392,,
2023-12-31,2023年报,2023-4,2023四季度,pay_other_invest_cash,306935.55,162325.0000,-0.99843376,1.18088434,0.41012743
2023-12-31,2023年报,2023-4,2023四季度,tax_payments,6821262515.47,1847834716.8200,0.13520280,0.41850689,0.12559481
2023-12-31,2023年报,2023-4,2023四季度,add_period_cash_and_equivalents_overage,33188427044.96,45539220579.9500,0.06782155,0.23082370,0.16438662
2023-12-31,2023年报,2023-4,2023四季度,received_other_invest_cash,24268478.3,2503301.2600,,37.40771628,
2023-12-31,2023年报,2023-4,2023四季度,insurance_and_investment_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,less_cash_equivalents_ending_overage,400000000.0,,,,
2023-12-31,2023年报,2023-4,2023四季度,less_cash_ending_overage,32788427044.96,,0.05495174,,
2023-12-31,2023年报,2023-4,2023四季度,employees_cash_payments,14252055015.1,3207804384.8300,0.01989068,0.07078241,0.03063794
2023-12-31,2023年报,2023-4,2023四季度,receive_related_financing_cash,71721501.48,,,,
2023-12-31,2023年报,2023-4,2023四季度,assets_impairment,1525699477.87,,0.92524287,,
2023-12-31,2023年报,2023-4,2023四季度,operating_activity_cash_outflow_special,,,,,
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_outflow_special,,,,,
2023-12-31,2023年报,2023-4,2023四季度,indirect_cash_net_addition,9623652806.71,,3.56545712,,
2023-12-31,2023年报,2023-4,2023四季度,related_operating_activity_receive_cash,4369829876.38,1004340725.9000,0.33952994,-0.02974511,0.49721104
2023-12-31,2023年报,2023-4,2023四季度,cash_net_addition,9623652806.71,-2727140728.2800,3.56545712,-1.31932830,0.53946071
2023-12-31,2023年报,2023-4,2023四季度,amortization_long_term_deferred_expenses,144262757.84,,0.07078943,,
2023-12-31,2023年报,2023-4,2023四季度,customer_and_interbank_deposits_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,act_cash_inflow_total,143204712616.0,37004812959.0500,0.03908668,0.03445523,0.01556891
2023-12-31,2023年报,2023-4,2023四季度,pledged_load_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,pay_policy_dividends_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_receivable_decrease,-260526292.91,,0.71272088,,
2023-12-31,2023年报,2023-4,2023四季度,debt_conversion_capital,,,,,
2023-12-31,2023年报,2023-4,2023四季度,act_cash_outflow_total,124914354965.44,30422739419.8900,0.00415447,0.01153576,-0.04606708
2023-12-31,2023年报,2023-4,2023四季度,exchange_rate_cash_influence,119312603.03,10143062.0400,1.20573772,-0.85241534,1.02954661
2023-12-31,2023年报,2023-4,2023四季度,sale_received_cash,137239211650.99,35504157152.6200,0.02728463,0.02747620,-0.00486418
2023-12-31,2023年报,2023-4,2023四季度,customer_loan_advance_net_addition,,,,,
2023-12-31,2023年报,2023-4,2023四季度,add_cash_equivalents_ending_overage,1000000000.0,,1.50000000,,
2023-12-31,2023年报,2023-4,2023四季度,pay_other_operating_activity_cash,1928121385.75,509715411.4100,0.28972403,-0.09625092,0.59111087
2023-12-31,2023年报,2023-4,2023四季度,invest_cash_inflow_special,,,,,
