报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20171231,1469446884.96,721388658.55,640261283.37,68560941.49,4823200.82,,,,338957329.28,776952828.19,437995498.91,423307789.25,,,,-121944384.5,-670083.53,106164020.42,653495.0,1590060.49,1064312462.36,14698619.99,871646056.12,87470038.39,,,,90497747.86,405134422.6,384082.76,,2370422.79,,403148082.57,106229119.28,296918963.29,296918963.29,,296796161.76,122801.53,,,-26318854.54,-26277667.93,100000.0,100000.0,,,,-26377667.93,,-26377667.93,,,,,,,,,-41186.61,270600108.75,270518493.83,81614.92,0.11,0.11,招股说明书(申报稿),是,20200930,CNY,合并期末,2020-03-13T15:58:11
20170630,691605027.88,345852116.11,318774701.74,22076886.77,135874.44,,,,146158916.59,395759334.89,249600418.3,263764152.43,,,,-92788481.32,-272650.07,28890974.14,,,443761642.23,6696582.52,414438864.78,-4980579.83,,,,27606774.76,247843385.65,1201329.89,,667420.76,,248377294.78,63672710.85,184704583.93,,,184624953.32,79630.61,908662651.09,,-13491471.27,-13461285.87,,,,,,,,,,,,,,,,,-30185.4,171213112.66,171163667.45,49445.21,,,定期报告,未审计,20170831,CNY,合并期末,2020-03-13T15:58:11
20161231,1826594490.25,983580125.24,881484944.7,83423510.1,8884064.75,,,,331949312.65,863432222.44,531482909.79,615734534.02,,,,-123249889.09,908792.57,17643058.62,28556.24,,948692299.55,43200438.17,895630339.01,2787963.4,,,,7073558.97,877902190.7,3960080.6,,1729650.96,,880132620.34,223481567.73,656651052.61,656651052.61,,656518792.32,132260.29,,,1540773.72,1513004.61,150000.0,150000.0,,,,1363004.61,,1363004.61,,,,,,,,,27769.11,658191826.33,658031796.93,160029.4,0.24,0.24,招股说明书(申报稿),是,20191220,CNY,合并期末,2020-03-13T15:58:11
20160630,890045285.16,515853462.56,479285494.61,30600145.36,3755731.64,,,,280174545.77,549731648.2,269557102.43,130214748.55,,,,-44609650.69,214372.04,8197806.93,,,460757332.46,35750592.99,421428783.96,,,,,3577955.51,429287952.7,471173.66,,551001.9,,429208124.46,99031177.61,330176946.85,,,330080014.03,96932.82,433738395.5,,2197617.85,2182006.21,,,,,,2182006.21,,2182006.21,,,,,,,,,15611.64,332374564.7,332262020.24,112544.46,,,其他,未审计,20160901,CNY,合并期末,2020-03-13T15:58:11
20160331,437152000.0,280122500.0,248489300.0,4703600.0,5288300.0,1454000.0,,,136600800.0,,,12020700.0,,,,2232400.0,-51600.0,6227100.0,,,259009700.0,23877700.0,233361200.0,0.0,,,,1770900.0,178142300.0,101100.0,,32500.0,,178210800.0,42882200.0,135328600.0,,,135275200.0,53500.0,,,24976300.0,24976300.0,0.0,,,,,24976300.0,,25250400.0,,,,,,,,,,160304900.0,160293100.0,11800.0,,,其他,未审计,20160629,CNY,合并期末,2020-03-13T15:58:11
20151231,3899975344.86,2614626513.44,2505313410.5,74092457.98,28610810.19,,,,558089217.19,1166854443.71,608765226.52,634228269.77,,,,75888194.52,548251.14,16594898.8,,,1198135617.75,204799355.1,962558920.87,23831658.07,,,,6945683.71,2701839727.11,34852428.73,,2847991.54,,2733844164.3,684944994.02,2048899170.28,,,2048528323.23,370847.05,638832984.75,,42032946.79,42083466.48,-630000.0,-630000.0,,,,42713466.48,,42713466.48,,,,,,,,,-50519.69,2090932117.07,2090611789.71,320327.36,,,其他,是,20160429,CNY,合并期末,2020-03-13T15:58:11
20150930,2906974200.0,2095873200.0,1996036400.0,29978800.0,34605900.0,5323000.0,,,456730100.0,,,341183200.0,,,,-1830300.0,349600.0,14668400.0,,,1038438300.0,160283700.0,860615500.0,16403500.0,,,,1135600.0,1868535900.0,1026500.0,,675200.0,,1868887200.0,469577400.0,1399309800.0,,,1399213300.0,96500.0,,,131157800.0,131157800.0,,,,,,131157800.0,,130145900.0,,,,,,,,,,1530467700.0,1530371200.0,96500.0,,,其他,未审计,20151214,CNY,合并期末,2020-03-13T15:58:11
20150331,806908267.99,506119994.54,489830389.5,9405550.68,5195726.41,11522.82,,,102039190.9,,,108261470.57,0.0,,,84279973.24,30131.24,6177507.5,,,466443854.59,38012436.54,427954858.12,0.0,,,,476559.93,340464413.4,13093.29,,,,340477506.69,85115468.43,255362038.26,,,255357385.53,4652.73,,,25888107.87,25888107.87,,,,,,25888107.87,,24717036.2,,,,,,,,,,281250146.13,281245493.4,4652.73,,,其他,未审计,20151026,CNY,合并期末,2020-03-13T15:58:11
20141231,1965621045.63,1096139609.02,1025488670.46,35289724.66,27723156.94,,,,193739756.61,335124698.09,141384941.48,526527682.89,,,,134256024.2,27127.61,14930845.3,,,897273052.98,93241951.88,802583254.14,22141.75,,,,1425705.21,1068347992.65,2205225.76,,2855144.45,,1067698073.96,263905308.76,803792765.2,,,803831410.42,-38645.22,177309700.16,,33863441.99,33863441.99,,,,,,33863441.99,,30618418.67,,,,,,,,,,837656207.19,837694852.41,-38645.22,,,其他,是,20151214,CNY,合并期末,2020-03-13T15:58:11
20131231,1061354574.54,760117431.82,750016378.85,1575000.0,3730300.7,450000.0,,,86317342.88,187330788.42,101013445.54,274158364.88,,,,-69287012.99,-210312.06,10258760.01,,,737090968.37,65078048.08,671236992.6,,,,,775927.69,324263606.17,2099475.17,,3363827.94,,322999253.4,91775947.82,231223305.58,,,231616429.41,-393123.83,584768691.14,,3645326.83,,,,,,,,,,,,,,,,,,,234868632.41,235261756.24,-393123.83,,,其他,是,20151214,CNY,合并期末,2020-03-13T15:58:11
