stock_code,report_year,source,rds_name,rds_value,tushare_label,tushare_value,abs_diff,rel_err_pct,class,color
600887,2020,tushare_vs_rds,[cash_flow] 期初现金及现金等价物余额,11066714362.59,[cash_flow] c_cash_equ_beg_period,11066714362.59,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 期末现金及现金等价物余额,11433567316.89,[cash_flow] c_cash_equ_end_period,11433567316.89,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 净利润,7098938695.41,[income_statement] n_income,7098938695.41,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 加：资产减值准备,339312411.62,[cash_flow] prov_depr_assets,339312411.62,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 固定资产折旧、油气资产折耗、生产性生物资产折旧,2222557525.17,[cash_flow] depr_fa_coga_dpba,2222557525.17,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 无形资产摊销,83466615.78,[cash_flow] amort_intang_assets,83466615.78,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 长期待摊费用摊销,136339693.97,[cash_flow] lt_amort_deferred_exp,136339693.97,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 处置固定资产、无形资产和其他长期资产的损失,6008330.64,[cash_flow] loss_disp_fiolta,6008330.64,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 固定资产报废损失,15006189.28,[cash_flow] loss_scr_fa,15006189.28,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 公允价值变动损失,-171088869.5,[cash_flow] loss_fv_chg,-171088869.5,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 财务费用,667632738.17,[cash_flow] finan_exp,667632738.17,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 投资损失,-599730018.58,[cash_flow] invest_loss,-599730018.58,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 递延所得税资产减少,-25745227.43,[cash_flow] decr_def_inc_tax_assets,-25745227.43,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 递延所得税负债增加,-80880243.07,[cash_flow] incr_def_inc_tax_liab,-80880243.07,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 存货的减少,194563078.44,[cash_flow] decr_inventories,194563078.44,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 经营性应收项目的减少,-3301570234.0,[cash_flow] decr_oper_payable,-3301570234.0,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 经营性应付项目的增加,2657009576.58,[cash_flow] incr_oper_payable,2657009576.58,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 其他,621681012.08,[cash_flow] c_disp_withdrwl_invest,614628653.08,7052359.0,1.1344015440337236,large_error,red
600887,2020,tushare_vs_rds,[cash_flow] 经营活动产生的现金流量净额2,9851639164.55,[cash_flow] n_cashflow_act,9851639164.55,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 现金的期末余额,11433567316.89,[cash_flow] c_cash_equ_end_period,11433567316.89,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 减：现金的期初余额,11066714362.59,[cash_flow] c_cash_equ_beg_period,11066714362.59,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 现金及现金等价物净增加额2,366852954.3,[cash_flow] n_incr_cash_cash_equ,366852954.3,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 信用减值损失,-11862110.01,[cash_flow] credit_impa_loss,-11862110.01,0.0,0.0,exact,green
