stock_code,ticker,report_year,report_type,statement_type,item_name,item_value
600585,600585.SH,2025,annual,cash_flow,投资活动使用的现金流量净额,-1004995083
600585,600585.SH,2025,annual,cash_flow,投资活动现金流入小计,34550588177
600585,600585.SH,2025,annual,cash_flow,投资活动现金流出小计,35555583260
600585,600585.SH,2025,annual,cash_flow,支付其他与投资活动有关的现金,3647551543
600585,600585.SH,2025,annual,cash_flow,支付其他与筹资活动有关的现金,204216093
600585,600585.SH,2025,annual,cash_flow,支付其他与经营活动有关的现金,3980863018
600585,600585.SH,2025,annual,cash_flow,支付的各项税费,782626659
600585,600585.SH,2025,annual,cash_flow,支付给职工以及为职工支付的现金,367932024
600585,600585.SH,2025,annual,cash_flow,收到其他与投资活动有关的现金,5009780534
600585,600585.SH,2025,annual,cash_flow,收到其他与筹资活动有关的现金,13784300
600585,600585.SH,2025,annual,cash_flow,收到其他与经营活动有关的现金,7110844517
600585,600585.SH,2025,annual,cash_flow,收到的税费返还,37469289
600585,600585.SH,2025,annual,cash_flow,收回投资收到的现金,24457284502
600585,600585.SH,2025,annual,cash_flow,汇率变动对现金及现金等价物的影响,-73176637
600585,600585.SH,2025,annual,cash_flow,筹资活动产生/使用的现金流量净额,-4875812591
600585,600585.SH,2025,annual,cash_flow,筹资活动使用的现金流量净额,-8297731210
600585,600585.SH,2025,annual,cash_flow,筹资活动现金流入小计,8803120796
600585,600585.SH,2025,annual,cash_flow,筹资活动现金流出小计,17100852006
600585,600585.SH,2025,annual,cash_flow,经营活动产生的现金流量净额,2779450301
600585,600585.SH,2025,annual,cash_flow,经营活动现金流入小计,9436598199
600585,600585.SH,2025,annual,cash_flow,经营活动现金流出小计,6657147898
600585,600585.SH,2025,annual,cash_flow,购买商品、接受劳务支付的现金,1525726197
600585,600585.SH,2025,annual,cash_flow,购买少数股东权益支付的现金净额-,1242101
600585,600585.SH,2025,annual,cash_flow,销售商品、提供劳务收到的现金,2288284393
600585,600585.SH,2025,annual,income_statement,信用减值损失（损失以“－”号填列）,-595920
600585,600585.SH,2025,annual,income_statement,其中：利息费用,650683070
600585,600585.SH,2025,annual,income_statement,净利润,7865688001
600585,600585.SH,2025,annual,income_statement,减：所得税费用,2554268580
600585,600585.SH,2025,annual,income_statement,减：营业外支出,280547415
600585,600585.SH,2025,annual,income_statement,减：营业成本,62589049730
600585,600585.SH,2025,annual,income_statement,利息收入,1916570898
